timestamp,signal,win,pnl,capital,regime_vol,regime_trend
2025-10-16 06:45:00,NO,True,0.98,2545.4600000004407,Medium,Weak
2025-10-16 07:15:00,YES,True,0.98,2546.4400000004407,Medium,Weak
2025-10-16 07:45:00,YES,True,0.98,2547.4200000004407,Medium,Weak
2025-10-16 08:00:00,YES,False,-1.02,2546.4000000004407,Medium,Medium
2025-10-16 08:15:00,YES,True,0.98,2547.3800000004408,Medium,Medium
2025-10-16 10:45:00,NO,True,0.98,2548.360000000441,Medium,Medium
2025-10-16 12:00:00,NO,True,0.98,2549.340000000441,Medium,Medium
2025-10-16 12:45:00,NO,True,0.98,2550.320000000441,High,Medium
2025-10-16 13:45:00,YES,False,-1.02,2549.300000000441,Medium,Medium
2025-10-16 14:00:00,YES,True,0.98,2550.280000000441,Medium,Medium
2025-10-16 14:15:00,YES,True,0.98,2551.260000000441,Medium,Medium
2025-10-16 15:15:00,YES,False,-1.02,2550.240000000441,High,Medium
2025-10-16 15:45:00,YES,True,0.98,2551.220000000441,High,Medium
2025-10-16 16:00:00,YES,False,-1.02,2550.200000000441,High,Medium
2025-10-16 20:15:00,YES,False,-1.02,2549.180000000441,Medium,Strong
2025-10-16 20:45:00,YES,True,0.98,2550.160000000441,Medium,Strong
2025-10-16 21:00:00,YES,False,-1.02,2549.140000000441,Medium,Strong
2025-10-16 21:15:00,YES,True,0.98,2550.120000000441,Medium,Strong
2025-10-16 22:00:00,YES,False,-1.02,2549.100000000441,Medium,Strong
2025-10-16 22:15:00,YES,False,-1.02,2548.080000000441,Medium,Strong
2025-10-16 22:45:00,YES,True,0.98,2549.060000000441,Medium,Medium
2025-10-16 23:00:00,YES,True,0.98,2550.040000000441,Low,Medium
2025-10-17 00:45:00,NO,False,-1.02,2549.020000000441,Low,Medium
2025-10-17 01:00:00,NO,True,0.98,2550.000000000441,Low,Medium
2025-10-17 02:45:00,NO,False,-1.02,2548.980000000441,Low,Medium
2025-10-17 03:00:00,NO,True,0.98,2549.960000000441,Low,Medium
2025-10-17 03:15:00,NO,True,0.98,2550.940000000441,Low,Medium
2025-10-17 03:45:00,NO,True,0.98,2551.920000000441,Low,Medium
2025-10-17 04:00:00,NO,True,0.98,2552.900000000441,Low,Medium
2025-10-17 05:45:00,YES,False,-1.02,2551.880000000441,Low,Medium
2025-10-17 06:00:00,YES,False,-1.02,2550.8600000004412,Low,Medium
2025-10-17 06:15:00,YES,False,-1.02,2549.8400000004413,Low,Medium
2025-10-17 06:45:00,YES,False,-1.02,2548.8200000004413,Low,Strong
2025-10-17 07:00:00,YES,True,0.98,2549.8000000004413,Medium,Strong
2025-10-17 07:15:00,YES,False,-1.02,2548.7800000004413,Medium,Strong
2025-10-17 07:45:00,YES,False,-1.02,2547.7600000004413,Medium,Strong
2025-10-17 08:00:00,YES,True,0.98,2548.7400000004413,Medium,Strong
2025-10-17 08:15:00,YES,False,-1.02,2547.7200000004414,Medium,Strong
2025-10-17 08:45:00,YES,True,0.98,2548.7000000004414,Medium,Strong
2025-10-17 09:00:00,YES,False,-1.02,2547.6800000004414,Medium,Strong
2025-10-17 09:15:00,YES,False,-1.02,2546.6600000004414,Medium,Strong
2025-10-17 09:45:00,YES,True,0.98,2547.6400000004414,Medium,Strong
2025-10-17 10:00:00,YES,False,-1.02,2546.6200000004415,Medium,Strong
2025-10-17 12:45:00,YES,False,-1.02,2545.6000000004415,Medium,Strong
2025-10-17 13:00:00,YES,True,0.98,2546.5800000004415,Medium,Strong
2025-10-17 15:45:00,NO,False,-1.02,2545.5600000004415,High,Medium
2025-10-17 16:00:00,NO,True,0.98,2546.5400000004415,High,Medium
2025-10-17 16:15:00,NO,True,0.98,2547.5200000004415,High,Medium
2025-10-17 17:00:00,NO,True,0.98,2548.5000000004416,Medium,Medium
2025-10-17 18:15:00,NO,True,0.98,2549.4800000004416,Medium,Medium
2025-10-17 19:00:00,NO,True,0.98,2550.4600000004416,Medium,Medium
2025-10-17 20:15:00,NO,True,0.98,2551.4400000004416,Low,Weak
2025-10-17 20:45:00,NO,False,-1.02,2550.4200000004416,Low,Medium
2025-10-17 21:00:00,NO,False,-1.02,2549.4000000004417,Low,Medium
2025-10-17 21:15:00,NO,True,0.98,2550.3800000004417,Low,Medium
2025-10-17 21:45:00,NO,True,0.98,2551.3600000004417,Low,Medium
2025-10-17 22:00:00,NO,True,0.98,2552.3400000004417,Low,Medium
2025-10-17 22:15:00,NO,True,0.98,2553.3200000004417,Low,Medium
2025-10-17 23:45:00,YES,False,-1.02,2552.3000000004417,Low,Medium
2025-10-18 00:00:00,YES,True,0.98,2553.2800000004418,Low,Medium
2025-10-18 01:15:00,NO,True,0.98,2554.260000000442,Low,Weak
2025-10-18 01:45:00,NO,True,0.98,2555.240000000442,Low,Weak
2025-10-18 04:45:00,YES,True,0.98,2556.220000000442,Low,Weak
2025-10-18 07:00:00,NO,True,0.98,2557.200000000442,Low,Weak
2025-10-18 11:45:00,NO,True,0.98,2558.180000000442,Low,Weak
2025-10-18 12:00:00,NO,True,0.98,2559.160000000442,Low,Weak
2025-10-18 16:45:00,YES,True,0.98,2560.140000000442,Low,Weak
2025-10-18 17:00:00,YES,True,0.98,2561.120000000442,Low,Weak
2025-10-18 19:45:00,NO,True,0.98,2562.100000000442,Low,Weak
2025-10-18 20:15:00,NO,True,0.98,2563.080000000442,Low,Weak
2025-10-18 21:45:00,NO,True,0.98,2564.060000000442,Low,Weak
2025-10-18 22:15:00,NO,True,0.98,2565.040000000442,Low,Weak
2025-10-19 01:00:00,YES,True,0.98,2566.020000000442,Low,Medium
2025-10-19 03:15:00,NO,False,-1.02,2565.000000000442,Low,Medium
2025-10-19 03:45:00,NO,True,0.98,2565.980000000442,Low,Medium
2025-10-19 06:00:00,YES,False,-1.02,2564.960000000442,Low,Weak
2025-10-19 06:15:00,YES,False,-1.02,2563.940000000442,Low,Weak
2025-10-19 06:45:00,YES,True,0.98,2564.920000000442,Low,Medium
2025-10-19 07:45:00,YES,True,0.98,2565.900000000442,Low,Medium
2025-10-19 08:15:00,YES,False,-1.02,2564.880000000442,High,Medium
2025-10-19 08:45:00,YES,False,-1.02,2563.860000000442,High,Medium
2025-10-19 14:45:00,NO,False,-1.02,2562.840000000442,Medium,Strong
2025-10-19 15:00:00,NO,True,0.98,2563.820000000442,Medium,Strong
2025-10-19 15:45:00,NO,True,0.98,2564.800000000442,Medium,Strong
2025-10-19 16:00:00,NO,False,-1.02,2563.780000000442,Medium,Strong
2025-10-19 16:15:00,NO,False,-1.02,2562.7600000004422,Medium,Strong
2025-10-19 17:45:00,NO,False,-1.02,2561.7400000004423,Medium,Strong
2025-10-19 18:00:00,NO,True,0.98,2562.7200000004423,Medium,Strong
2025-10-19 18:15:00,NO,False,-1.02,2561.7000000004423,Medium,Strong
2025-10-19 18:45:00,NO,True,0.98,2562.6800000004423,Medium,Strong
2025-10-19 19:00:00,NO,False,-1.02,2561.6600000004423,Medium,Strong
2025-10-19 19:15:00,NO,True,0.98,2562.6400000004423,Medium,Strong
2025-10-19 22:00:00,NO,False,-1.02,2561.6200000004424,Medium,Strong
2025-10-19 22:15:00,NO,False,-1.02,2560.6000000004424,Medium,Strong
2025-10-19 22:45:00,NO,True,0.98,2561.5800000004424,Medium,Strong
2025-10-20 00:00:00,YES,False,-1.02,2560.5600000004424,Medium,Strong
2025-10-20 00:15:00,YES,True,0.98,2561.5400000004424,Medium,Strong
2025-10-20 03:15:00,NO,False,-1.02,2560.5200000004425,High,Medium
2025-10-20 05:45:00,NO,False,-1.02,2559.5000000004425,Medium,Strong
2025-10-20 06:00:00,NO,True,0.98,2560.4800000004425,Medium,Strong
2025-10-20 06:15:00,NO,False,-1.02,2559.4600000004425,Medium,Strong
2025-10-20 06:45:00,NO,True,0.98,2560.4400000004425,Medium,Strong
2025-10-20 07:00:00,NO,False,-1.02,2559.4200000004425,Medium,Strong
2025-10-20 07:15:00,NO,True,0.98,2560.4000000004426,Medium,Strong
2025-10-20 07:45:00,NO,True,0.98,2561.3800000004426,Low,Strong
2025-10-20 08:00:00,NO,False,-1.02,2560.3600000004426,Low,Strong
2025-10-20 08:15:00,NO,False,-1.02,2559.3400000004426,Low,Strong
2025-10-20 08:45:00,NO,False,-1.02,2558.3200000004426,Low,Strong
2025-10-20 09:00:00,NO,True,0.98,2559.3000000004427,Low,Strong
2025-10-20 09:45:00,NO,False,-1.02,2558.2800000004427,Low,Strong
2025-10-20 10:00:00,NO,False,-1.02,2557.2600000004427,Low,Strong
2025-10-20 10:15:00,NO,True,0.98,2558.2400000004427,Low,Strong
2025-10-20 11:45:00,NO,True,0.98,2559.2200000004427,Low,Strong
2025-10-20 12:15:00,NO,True,0.98,2560.2000000004427,Low,Strong
