# Precision Temporal Analysis Matrix
# Baseline WR: 54.88%
hour,day_name,quarter,trades,wins,losses,win_rate,total_pnl,avg_pnl,sharpe,best_trade,worst_trade,profit_factor
0,Sunday,Q3,53,30,23,56.60377358490566,5.9399999999999995,0.1120754716981132,2.1396467243458908,0.98,-1.02,1.2531969309462918
12,Tuesday,Q3,76,43,33,56.57894736842105,8.479999999999999,0.11157894736842104,2.1362148346929355,0.98,-1.02,1.2519310754604869
14,Friday,Q3,76,43,33,56.57894736842105,8.479999999999999,0.11157894736842104,2.1362148346929355,0.98,-1.02,1.2519310754604869
5,Monday,Q2,62,35,27,56.451612903225815,6.759999999999999,0.10903225806451611,2.083609366250009,0.98,-1.02,1.2454611474219315
20,Thursday,Q3,62,35,27,56.451612903225815,6.759999999999999,0.10903225806451611,2.083609366250009,0.98,-1.02,1.2454611474219315
10,Saturday,Q4,62,35,27,56.451612903225815,6.759999999999999,0.10903225806451611,2.0836093662500086,0.98,-1.02,1.2454611474219315
0,Saturday,Q2,39,22,17,56.41025641025641,4.219999999999999,0.10820512820512818,2.057560344893461,0.98,-1.02,1.243367935409458
22,Tuesday,Q2,55,31,24,56.36363636363636,5.899999999999999,0.10727272727272724,2.047375564199144,0.98,-1.02,1.2410130718954249
10,Monday,Q2,55,31,24,56.36363636363636,5.899999999999999,0.10727272727272724,2.047375564199144,0.98,-1.02,1.2410130718954249
13,Monday,Q2,55,31,24,56.36363636363636,5.899999999999999,0.10727272727272724,2.047375564199144,0.98,-1.02,1.2410130718954249
13,Tuesday,Q1,73,41,32,56.16438356164384,7.539999999999999,0.1032876712328767,1.9748116612884823,0.98,-1.02,1.2310049019607843
13,Tuesday,Q3,73,41,32,56.16438356164384,7.539999999999999,0.1032876712328767,1.9748116612884823,0.98,-1.02,1.2310049019607843
18,Thursday,Q3,57,32,25,56.14035087719298,5.859999999999999,0.10280701754385964,1.9616686192957833,0.98,-1.02,1.2298039215686274
4,Tuesday,Q2,57,32,25,56.14035087719298,5.859999999999999,0.10280701754385964,1.9616686192957833,0.98,-1.02,1.2298039215686274
13,Thursday,Q2,84,47,37,55.952380952380956,8.319999999999999,0.09904761904761902,1.894477165515792,0.98,-1.02,1.2204557498675135
11,Wednesday,Q1,84,47,37,55.952380952380956,8.319999999999999,0.09904761904761902,1.8944771655157924,0.98,-1.02,1.2204557498675135
9,Saturday,Q2,59,33,26,55.932203389830505,5.8199999999999985,0.09864406779661014,1.8818446480421014,0.98,-1.02,1.2194570135746605
23,Wednesday,Q2,59,33,26,55.932203389830505,5.8199999999999985,0.09864406779661014,1.8818446480421012,0.98,-1.02,1.2194570135746605
6,Tuesday,Q2,77,43,34,55.84415584415584,7.459999999999999,0.09688311688311688,1.8515822605228003,0.98,-1.02,1.2151095732410606
13,Thursday,Q4,77,43,34,55.84415584415584,7.459999999999999,0.09688311688311688,1.8515822605228,0.98,-1.02,1.2151095732410606
17,Friday,Q2,43,24,19,55.81395348837209,4.139999999999999,0.09627906976744183,1.8303105110082998,0.98,-1.02,1.2136222910216719
15,Sunday,Q3,43,24,19,55.81395348837209,4.139999999999999,0.09627906976744183,1.8303105110082998,0.98,-1.02,1.2136222910216719
12,Monday,Q1,52,29,23,55.769230769230774,4.959999999999999,0.09538461538461537,1.8168480718423607,0.98,-1.02,1.2114236999147487
15,Tuesday,Q2,52,29,23,55.769230769230774,4.959999999999999,0.09538461538461537,1.8168480718423607,0.98,-1.02,1.2114236999147487
2,Tuesday,Q1,61,34,27,55.73770491803278,5.779999999999999,0.09475409836065572,1.8073141218821995,0.98,-1.02,1.2098765432098764
3,Tuesday,Q1,61,34,27,55.73770491803278,5.779999999999999,0.09475409836065572,1.8073141218821998,0.98,-1.02,1.2098765432098764
10,Friday,Q2,61,34,27,55.73770491803278,5.779999999999999,0.09475409836065572,1.8073141218821998,0.98,-1.02,1.2098765432098764
19,Sunday,Q1,45,25,20,55.55555555555556,4.1,0.0911111111111111,1.7319500890935369,0.98,-1.02,1.200980392156863
18,Sunday,Q1,36,20,16,55.55555555555556,3.2799999999999994,0.09111111111111109,1.7270227673336813,0.98,-1.02,1.200980392156863
8,Friday,Q4,72,40,32,55.55555555555556,6.559999999999999,0.09111111111111109,1.7393148994487577,0.98,-1.02,1.200980392156863
6,Saturday,Q3,54,30,24,55.55555555555556,4.919999999999999,0.09111111111111109,1.73522719720673,0.98,-1.02,1.200980392156863
16,Saturday,Q2,63,35,28,55.55555555555556,5.739999999999998,0.09111111111111109,1.7375642045919808,0.98,-1.02,1.2009803921568625
23,Sunday,Q4,36,20,16,55.55555555555556,3.2799999999999994,0.09111111111111109,1.7270227673336813,0.98,-1.02,1.200980392156863
12,Wednesday,Q2,90,50,40,55.55555555555556,8.2,0.0911111111111111,1.741762916000784,0.98,-1.02,1.200980392156863
11,Wednesday,Q3,74,41,33,55.4054054054054,6.519999999999999,0.0881081081081081,1.6817471647955629,0.98,-1.02,1.1937017231134877
19,Friday,Q3,65,36,29,55.38461538461539,5.699999999999999,0.08769230769230768,1.6721466055812895,0.98,-1.02,1.1926977687626772
2,Friday,Q4,65,36,29,55.38461538461539,5.699999999999999,0.08769230769230768,1.6721466055812895,0.98,-1.02,1.1926977687626772
12,Sunday,Q3,56,31,25,55.35714285714286,4.879999999999999,0.08714285714285712,1.6594827354657096,0.98,-1.02,1.1913725490196079
0,Thursday,Q2,56,31,25,55.35714285714286,4.879999999999999,0.08714285714285712,1.6594827354657096,0.98,-1.02,1.1913725490196079
9,Saturday,Q4,56,31,25,55.35714285714286,4.879999999999999,0.08714285714285712,1.6594827354657096,0.98,-1.02,1.1913725490196079
12,Tuesday,Q1,76,42,34,55.26315789473685,6.479999999999999,0.08526315789473682,1.6272383624383564,0.98,-1.02,1.1868512110726641
16,Sunday,Q3,38,21,17,55.26315789473685,3.2399999999999993,0.08526315789473682,1.616353702736043,0.98,-1.02,1.1868512110726646
2,Thursday,Q4,76,42,34,55.26315789473685,6.479999999999999,0.08526315789473682,1.6272383624383564,0.98,-1.02,1.1868512110726641
14,Monday,Q1,58,32,26,55.172413793103445,4.839999999999999,0.08344827586206895,1.5889987886083923,0.98,-1.02,1.1825037707390649
5,Tuesday,Q3,69,38,31,55.072463768115945,5.619999999999999,0.08144927536231883,1.552780319080214,0.98,-1.02,1.177735610373181
1,Tuesday,Q2,69,38,31,55.072463768115945,5.619999999999999,0.08144927536231883,1.552780319080214,0.98,-1.02,1.177735610373181
19,Friday,Q2,60,33,27,55.00000000000001,4.799999999999999,0.07999999999999999,1.5232430404467174,0.98,-1.02,1.1742919389978212
12,Saturday,Q4,60,33,27,55.00000000000001,4.799999999999999,0.07999999999999999,1.5232430404467174,0.98,-1.02,1.1742919389978212
8,Wednesday,Q4,80,44,36,55.00000000000001,6.399999999999999,0.07999999999999999,1.526466838847477,0.98,-1.02,1.1742919389978206
12,Friday,Q4,82,45,37,54.87804878048781,6.3599999999999985,0.07756097560975608,1.4797965706722995,0.98,-1.02,1.168521462639109
8,Friday,Q1,82,45,37,54.87804878048781,6.3599999999999985,0.07756097560975608,1.4797965706723,0.98,-1.02,1.168521462639109
5,Wednesday,Q1,62,34,28,54.83870967741935,4.759999999999999,0.07677419354838708,1.461752979881877,0.98,-1.02,1.1666666666666665
